t_days,Ca_uM,YAP_nuclear,NFkB_active,STAT6_active,phenotype_inflammatory,phenotype_transitional,phenotype_healing,phenotype_fbgc_prone,fbgc_risk
0.1521,0.54907,0.67133,0.28016,0.00175,0.43663,0.40475,0.09982,0.00038,1e-05
0.1528,0.54926,0.67135,0.28013,0.00175,0.43662,0.40472,0.09982,0.00039,1e-05
0.1535,0.54945,0.67137,0.2801,0.00176,0.43661,0.4047,0.09982,0.00039,1e-05
0.1542,0.54964,0.67138,0.28007,0.00176,0.43659,0.40468,0.09982,0.00039,1e-05
0.1549,0.54982,0.6714,0.28004,0.00177,0.43658,0.40465,0.09982,0.00039,1e-05
0.1556,0.55001,0.67141,0.28001,0.00177,0.43657,0.40463,0.09982,0.00039,1e-05
0.1562,0.55019,0.67143,0.27997,0.00178,0.43656,0.40461,0.09982,0.00039,1e-05
0.1569,0.55037,0.67144,0.27994,0.00178,0.43654,0.40459,0.09982,0.00039,1e-05
0.1576,0.55055,0.67145,0.27991,0.00179,0.43653,0.40456,0.09982,0.00039,1e-05
0.1583,0.55073,0.67147,0.27988,0.00179,0.43652,0.40454,0.09982,0.00039,1e-05
0.159,0.5509,0.67148,0.27985,0.0018,0.4365,0.40452,0.09982,0.0004,1e-05
0.1597,0.55108,0.67149,0.27982,0.0018,0.43649,0.40449,0.09982,0.0004,1e-05
0.1604,0.55125,0.6715,0.27979,0.00181,0.43647,0.40447,0.09982,0.0004,1e-05
0.1611,0.55142,0.67151,0.27976,0.00181,0.43646,0.40445,0.09982,0.0004,1e-05
0.1618,0.55159,0.67152,0.27973,0.00182,0.43644,0.40442,0.09982,0.0004,1e-05
0.1625,0.55176,0.67153,0.2797,0.00182,0.43643,0.4044,0.09982,0.0004,1e-05
0.1632,0.55193,0.67153,0.27967,0.00183,0.43641,0.40438,0.09982,0.0004,1e-05
0.1639,0.5521,0.67154,0.27964,0.00183,0.4364,0.40435,0.09982,0.0004,1e-05
0.1646,0.55226,0.67155,0.2796,0.00184,0.43638,0.40433,0.09982,0.00041,1e-05
0.1653,0.55243,0.67156,0.27957,0.00184,0.43637,0.40431,0.09982,0.00041,1e-05
0.166,0.55259,0.67156,0.27954,0.00185,0.43635,0.40428,0.09982,0.00041,1e-05
0.1667,0.55275,0.67157,0.27951,0.00185,0.43633,0.40426,0.09983,0.00041,1e-05
0.1674,0.55291,0.67157,0.27948,0.00186,0.43632,0.40424,0.09983,0.00041,1e-05
0.1681,0.55307,0.67158,0.27945,0.00186,0.4363,0.40421,0.09983,0.00041,1e-05
0.1688,0.55323,0.67158,0.27942,0.00187,0.43628,0.40419,0.09983,0.00041,1e-05
0.1694,0.55339,0.67159,0.27939,0.00187,0.43627,0.40417,0.09983,0.00041,1e-05
0.1701,0.55354,0.67159,0.27936,0.00188,0.43625,0.40414,0.09984,0.00041,1e-05
0.1708,0.5537,0.67159,0.27933,0.00188,0.43623,0.40412,0.09984,0.00042,1e-05
0.1715,0.55385,0.6716,0.27929,0.00189,0.43622,0.40409,0.09984,0.00042,1e-05
0.1722,0.55401,0.6716,0.27926,0.00189,0.4362,0.40407,0.09984,0.00042,1e-05
0.1729,0.55416,0.6716,0.27923,0.0019,0.43618,0.40405,0.09985,0.00042,1e-05
0.1736,0.55431,0.6716,0.2792,0.0019,0.43616,0.40402,0.09985,0.00042,1e-05
0.1743,0.55446,0.6716,0.27917,0.00191,0.43614,0.404,0.09985,0.00042,1e-05
