t_days,Ca_uM,YAP_nuclear,NFkB,STAT6,inflam,transit,healing,fbgc_prone,fbgc_risk
0.1306,0.48111,0.66353,0.2585,0.00146,0.42051,0.38447,0.16863,0.00062,1e-05
0.1312,0.48132,0.66359,0.25848,0.00146,0.42052,0.38445,0.16862,0.00062,1e-05
0.1319,0.48153,0.66364,0.25845,0.00147,0.42053,0.38443,0.1686,0.00063,1e-05
0.1326,0.48173,0.66369,0.25843,0.00147,0.42053,0.38442,0.16859,0.00063,1e-05
0.1333,0.48193,0.66373,0.25841,0.00148,0.42054,0.3844,0.16858,0.00063,1e-05
0.134,0.48213,0.66378,0.25839,0.00148,0.42054,0.38438,0.16857,0.00063,1e-05
0.1347,0.48233,0.66382,0.25836,0.00149,0.42055,0.38436,0.16856,0.00063,1e-05
0.1354,0.48252,0.66386,0.25834,0.0015,0.42055,0.38435,0.16855,0.00064,1e-05
0.1361,0.48271,0.6639,0.25832,0.0015,0.42055,0.38433,0.16855,0.00064,1e-05
0.1368,0.4829,0.66394,0.25829,0.00151,0.42055,0.38431,0.16854,0.00064,1e-05
0.1375,0.48309,0.66398,0.25827,0.00151,0.42055,0.38429,0.16853,0.00064,1e-05
0.1382,0.48327,0.66401,0.25825,0.00152,0.42055,0.38427,0.16852,0.00065,1e-05
0.1389,0.48346,0.66405,0.25822,0.00152,0.42055,0.38425,0.16852,0.00065,1e-05
0.1396,0.48364,0.66408,0.2582,0.00153,0.42055,0.38423,0.16851,0.00065,1e-05
0.1403,0.48382,0.66411,0.25818,0.00153,0.42055,0.38421,0.1685,0.00065,1e-05
0.141,0.48399,0.66414,0.25815,0.00154,0.42055,0.3842,0.1685,0.00065,1e-05
0.1417,0.48417,0.66417,0.25813,0.00154,0.42055,0.38418,0.16849,0.00066,1e-05
0.1424,0.48434,0.6642,0.25811,0.00155,0.42054,0.38416,0.16849,0.00066,1e-05
0.1431,0.48451,0.66423,0.25808,0.00155,0.42054,0.38414,0.16848,0.00066,1e-05
0.1438,0.48468,0.66425,0.25806,0.00156,0.42054,0.38412,0.16848,0.00066,1e-05
0.1444,0.48485,0.66428,0.25803,0.00156,0.42053,0.3841,0.16848,0.00067,1e-05
0.1451,0.48502,0.6643,0.25801,0.00157,0.42052,0.38408,0.16847,0.00067,1e-05
0.1458,0.48518,0.66432,0.25798,0.00157,0.42052,0.38406,0.16847,0.00067,1e-05
0.1465,0.48534,0.66434,0.25796,0.00158,0.42051,0.38404,0.16847,0.00067,1e-05
0.1472,0.4855,0.66436,0.25793,0.00158,0.4205,0.38402,0.16846,0.00067,1e-05
0.1479,0.48566,0.66438,0.25791,0.00159,0.4205,0.384,0.16846,0.00068,1e-05
0.1486,0.48582,0.6644,0.25788,0.00159,0.42049,0.38398,0.16846,0.00068,1e-05
0.1493,0.48598,0.66441,0.25786,0.0016,0.42048,0.38395,0.16846,0.00068,1e-05
0.15,0.48613,0.66443,0.25783,0.0016,0.42047,0.38393,0.16846,0.00068,1e-05
0.1507,0.48628,0.66445,0.25781,0.00161,0.42046,0.38391,0.16846,0.00069,1e-05
